,algo_proffits,bid_stream,stock_close
93,65.82000000099998,5.0,67.04
94,65.93000000099998,5.0,68.34
95,66.91000000099999,5.0,68.66
96,67.26000000099998,5.0,67.99
97,66.37000000099998,5.0,68.48
98,67.23000000099998,5.0,68.22
99,65.88000000099998,5.0,68.765
100,63.98000000099998,5.0,68.01
101,64.55000000099999,5.0,67.82
102,62.64000000099998,5.0,69.92
103,63.270000000999985,5.0,68.63
104,63.62000000099998,5.0,67.86
105,64.48000000099998,5.0,68.6
106,64.67000000099999,5.0,68.9
107,64.22000000099999,5.0,68.92
108,61.19000000099999,5.0,68.52
109,60.060000000999985,5.0,68.04
110,59.21000000099998,5.0,67.47
111,60.560000000999985,5.0,68.06
112,62.200000000999985,5.0,67.08
113,60.230000000999986,5.0,67.19
114,59.240000000999984,5.0,68.17
115,60.130000000999985,5.0,68.52
116,60.84500000099998,5.0,67.63
117,61.78000000099998,5.0,68.49
118,62.78000000099999,5.0,67.14
119,63.04000000099998,5.0,65.24
120,63.22000000099999,5.0,65.81
121,63.130000000999985,5.0,63.9
122,61.96000000099998,5.0,64.53
123,60.350000000999984,5.0,64.88
124,59.14000000099998,5.0,65.74
125,59.65000000099998,5.0,65.93
126,60.43000000099998,5.0,65.48
127,61.33000000099999,5.0,62.45
128,60.30000000099999,5.0,61.32
129,60.18000000099998,5.0,60.47
130,58.18000000099998,5.0,61.82
131,57.37000000099999,5.0,63.46
132,57.82000000099998,5.0,61.49
133,58.33000000099999,5.0,60.5
134,59.44000000099999,5.0,61.39
135,59.55000000099999,5.0,62.105
136,59.62000000099999,5.0,63.04
137,58.94000000099999,5.0,64.04
138,60.380000000999985,5.0,64.3
139,60.94000000099999,5.0,64.48
140,60.450000000999985,5.0,64.39
141,61.21000000099998,5.0,63.22
142,61.89000000099998,5.0,61.61
143,63.04000000099998,5.0,60.4
144,63.990000000999984,5.0,60.91
145,63.58000000099999,5.0,61.69
146,64.19000000099999,5.0,62.59
147,63.28000000099999,5.0,61.56
148,63.380000000999985,5.0,61.44
149,62.83000000099999,5.0,59.44
150,62.910000000999986,5.0,58.63
151,64.21000000099998,5.0,59.08
152,65.65000000099998,5.0,59.59
153,65.67000000099999,5.0,60.7
154,65.70000000099998,5.0,60.81
155,66.20000000099998,5.0,60.88
156,65.30000000099999,5.0,60.2
157,65.56000000099998,5.0,61.64
158,66.36000000099999,5.0,62.2
159,66.28000000099999,5.0,61.71
160,71.82000000099998,5.0,62.47
161,71.69000000099999,5.0,63.15
162,71.35000000099998,5.0,64.3
163,71.63000000099998,5.0,65.25
164,71.12000000099998,5.0,64.84
165,71.18000000099998,5.0,65.45
166,71.59000000099998,5.0,64.54
167,70.74000000099998,5.0,64.64
168,71.10000000099998,5.0,64.09
169,71.75000000099999,5.0,64.17
170,71.50000000099999,5.0,65.47
171,72.31000000099998,5.0,66.91
172,71.42000000099999,5.0,66.93
173,69.88000000099998,5.0,66.96
174,70.31000000099998,5.0,67.46
175,70.44000000099999,5.0,66.56
176,71.00000000099999,5.0,66.82
177,71.62000000099998,5.0,67.62
178,71.03000000099999,5.0,67.54
179,71.12000000099998,5.0,73.08
180,70.13000000099998,5.0,72.95
181,71.29000000099998,5.0,72.61
